state,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Johor,1325.6,1355.4,1385.3,1414.5,1444.4,1477.0,1508.4,1541.9,1573.4,1606.4,1646.2,1689.3,1734.6,1780.2,1825.8,1875.5,1926.5,1977.9,2031.0,2085.5,2139.6,2188.1,2249.1,2313.4,2378.1,2441.4,2503.9,2567.5,2631.7,2699.4,2762.5,2829.9,2893.6,2954.0,3014.6,3074.4,3134.4,3193.5,3252.3,3309.4,3362.9,3410.5,3450.4,3474.4,3559.8,3610.3,3651.8,3697.0,3749.4,3761.2,4009.7,4020.0,4028.3,4107.2,4186.3
Kedah,989.5,1003.9,1017.3,1029.0,1041.1,1054.9,1065.4,1079.8,1090.9,1103.4,1119.9,1140.2,1161.8,1183.9,1206.1,1230.8,1256.2,1281.1,1305.4,1328.8,1352.2,1371.3,1402.1,1434.1,1466.6,1500.2,1533.2,1566.9,1601.2,1636.5,1671.9,1703.9,1734.8,1763.7,1792.4,1820.3,1847.5,1874.2,1900.2,1925.3,1949.3,1971.8,2001.1,2039.8,2062.7,2096.5,2119.7,2143.9,2163.0,2173.7,2131.4,2151.7,2163.1,2189.3,2217.5
Kelantan,707.3,723.6,741.1,759.5,776.8,796.1,814.1,834.2,852.5,873.7,895.7,920.5,947.1,974.6,1002.6,1032.9,1062.8,1093.2,1124.0,1154.5,1187.2,1227.0,1243.5,1259.1,1273.7,1287.7,1301.1,1314.4,1328.9,1344.7,1361.4,1390.0,1416.7,1440.5,1463.8,1486.3,1507.6,1529.1,1549.8,1570.0,1589.9,1618.8,1651.0,1683.5,1723.4,1760.6,1796.7,1829.0,1860.5,1883.8,1792.5,1812.3,1830.6,1859.8,1888.5
Kuala Lumpur,,,,,,,,,,,982.9,1006.1,1028.5,1050.7,1072.2,1095.9,1120.5,1144.9,1169.6,1194.1,1217.8,1262.1,1281.5,1298.7,1314.4,1328.9,1342.5,1356.4,1373.0,1394.0,1416.0,1446.2,1474.1,1500.5,1526.4,1551.8,1577.5,1603.3,1628.9,1652.8,1674.8,1693.0,1702.1,1723.4,1737.4,1780.4,1789.7,1793.2,1790.0,1782.5,1982.1,1964.0,1961.2,2005.7,2067.5
Labuan,,,,,,,,,,,,,,,,,,,,,,52.9,55.4,57.9,60.3,62.7,65.1,67.7,70.5,73.3,76.1,77.0,77.8,78.7,79.7,80.8,82.0,83.2,84.6,86.3,88.2,89.4,90.5,91.4,93.8,95.1,96.8,97.6,99.0,99.3,95.1,96.0,96.9,99.0,100.8
Melaka,419.4,424.9,429.9,434.2,438.1,443.1,447.3,452.1,456.2,460.8,466.9,472.6,478.7,484.8,491.2,498.6,505.6,513.1,520.5,527.4,534.2,540.2,551.8,563.3,574.9,586.1,597.3,608.8,620.5,633.1,646.6,665.8,684.1,701.8,719.8,737.3,755.0,772.8,790.5,807.8,823.6,833.2,843.2,856.7,871.7,889.0,901.1,913.1,922.4,928.4,998.4,1004.5,1008.6,1028.3,1047.1
Negeri Sembilan,500.4,508.2,515.9,522.8,530.0,537.6,544.3,551.8,558.7,566.4,576.7,587.2,598.9,611.3,623.8,638.4,653.7,668.9,683.5,698.2,713.4,726.2,741.7,757.0,772.4,787.5,802.6,818.0,833.5,849.5,866.1,883.7,900.3,916.8,933.7,950.3,967.0,983.5,999.6,1014.9,1029.5,1047.4,1057.7,1072.2,1079.6,1088.8,1099.3,1114.0,1122.9,1126.2,1200.0,1204.2,1207.9,1224.9,1240.1
Pahang,523.8,548.4,574.0,599.3,626.0,653.4,680.4,709.5,738.2,768.4,802.1,820.6,842.3,864.8,888.7,915.2,943.5,971.0,998.4,1025.9,1054.3,1079.6,1104.2,1128.0,1152.3,1176.5,1200.6,1224.7,1248.8,1272.5,1295.8,1317.3,1338.7,1360.0,1380.2,1400.8,1421.2,1441.4,1461.6,1481.7,1501.9,1526.8,1547.1,1568.7,1591.7,1607.9,1626.7,1647.0,1664.7,1671.4,1591.3,1601.5,1614.3,1643.2,1668.2
Perak,1631.5,1650.9,1669.3,1686.0,1702.7,1720.9,1736.7,1755.6,1771.5,1789.1,1807.4,1838.2,1866.8,1891.1,1912.3,1931.5,1950.8,1967.5,1979.5,1987.7,1992.9,1995.3,2007.1,2018.4,2028.4,2038.1,2047.0,2055.3,2066.2,2076.7,2091.7,2129.0,2161.8,2192.1,2222.1,2251.1,2279.3,2306.4,2331.6,2355.7,2379.0,2402.7,2427.0,2447.2,2458.8,2466.9,2482.1,2493.2,2503.5,2508.8,2496.0,2515.8,2514.4,2541.2,2569.6
Perlis,125.5,127.4,129.7,131.7,133.8,136.2,138.3,141.0,143.2,145.8,148.7,151.6,154.9,158.2,161.7,165.9,170.2,174.5,178.8,182.9,187.0,190.7,192.7,194.7,196.7,198.8,200.4,202.1,203.8,205.7,207.6,210.4,213.2,216.0,218.8,221.6,224.4,227.2,230.1,233.0,235.8,237.3,239.4,242.1,245.1,248.5,251.0,252.0,253.5,254.0,284.9,287.6,289.8,293.1,296.8
Pulau Pinang,808.6,823.7,838.9,852.9,866.7,881.7,896.4,912.2,925.7,940.4,960.7,975.4,990.9,1006.2,1021.1,1037.9,1054.8,1070.5,1086.6,1103.4,1118.5,1133.6,1154.0,1174.7,1195.9,1216.6,1237.5,1259.0,1282.7,1307.5,1332.7,1361.0,1387.3,1412.2,1436.6,1460.4,1484.1,1507.8,1531.3,1554.3,1575.9,1601.0,1623.2,1662.6,1678.1,1698.1,1717.7,1744.1,1762.8,1768.8,1740.4,1740.0,1740.9,1772.6,1800.4
Putrajaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4,77.5,78.3,79.7,80.9,83.0,84.4,87.5,97.2,103.7,109.2,115.2,117.0,118.8,120.3
Sabah,698.1,728.1,759.5,792.4,826.9,863.0,898.1,934.8,973.2,1013.3,1055.1,1119.6,1186.5,1255.1,1325.7,1398.7,1474.4,1550.8,1629.5,1708.9,1787.6,1814.5,1896.6,1981.9,2068.9,2155.9,2245.0,2333.7,2423.5,2513.5,2603.5,2663.3,2719.1,2774.0,2833.4,2897.0,2962.9,3032.3,3105.1,3181.1,3260.0,3345.5,3432.7,3611.5,3669.9,3720.5,3802.8,3855.9,3898.4,3904.4,3418.8,3412.6,3414.9,3596.7,3742.2
Sarawak,1037.0,1065.2,1094.3,1124.1,1154.7,1186.2,1217.5,1249.6,1282.5,1316.4,1351.1,1380.2,1410.4,1440.6,1471.4,1503.9,1539.5,1576.0,1614.6,1652.5,1687.8,1723.8,1758.4,1795.2,1831.9,1868.1,1904.5,1942.4,1982.1,2024.5,2071.5,2115.6,2158.3,2199.0,2240.4,2282.4,2324.9,2366.1,2408.4,2450.8,2487.1,2527.9,2569.7,2642.5,2664.0,2701.5,2738.7,2766.3,2791.7,2806.0,2453.7,2465.6,2473.5,2502.3,2518.1
Selangor,1696.4,1770.9,1846.7,1922.4,1997.9,2075.3,2154.3,2237.7,2320.9,2407.3,1524.1,1594.6,1668.3,1743.8,1822.0,1906.1,1992.6,2079.7,2166.9,2254.9,2345.4,2431.2,2605.6,2788.7,2978.5,3173.2,3371.1,3571.9,3777.5,3981.9,4188.9,4317.5,4446.3,4577.3,4712.8,4849.6,4986.2,5127.1,5268.5,5417.8,5502.1,5600.3,5702.4,5904.7,6051.3,6178.0,6291.5,6380.7,6475.0,6506.1,6994.4,7014.7,7050.3,7209.7,7363.4
Terengganu,418.8,429.0,439.5,451.0,462.0,474.9,486.9,500.9,513.4,527.0,541.7,560.8,581.4,602.9,625.8,651.6,678.3,704.3,730.9,757.3,784.6,810.7,823.8,836.5,848.6,860.0,870.7,880.4,889.6,896.6,902.6,920.0,936.6,951.4,966.6,981.4,995.9,1010.4,1025.2,1040.7,1055.4,1079.0,1094.1,1113.4,1140.4,1161.0,1183.4,1208.0,1228.3,1244.5,1149.4,1170.7,1186.6,1210.0,1232.1
